prefix	name	query	count
cio	Confidence Information Ontology	"""Confidence Information Ontology""[tw] OR ""Confidence Information Ontology (CIO)""[tw]"	0
citedcat	DataCite to DCAT-AP Mapping	"""DataCite to DCAT-AP Mapping""[tw]"	0
polytraits.trait	Polytraits Trait Definitions	"""Polytraits Trait Definitions""[tw]"	0
citexplore	CiteXplore	"""CiteXplore""[tw]"	0
civic.aid	CIViC Assertion	"""CIViC Assertion""[tw]"	0
civic.did	CIViC Disease	"""CIViC Disease""[tw]"	0
pmr.workspace	Physiome Model Repository workspace	"""Physiome Model Repository workspace""[tw]"	0
civic.eid	CIViC Evidence	"""CIViC Evidence""[tw]"	0
civic.gid	CIViC gene	"""CIViC gene""[tw]"	0
civic.mpid	CIViC Molecular Profile	"""CIViC Molecular Profile""[tw]"	0
civic.sid	CIViC Source	"""CIViC Source""[tw]"	0
civic.tid	CIViC Therapy	"""CIViC Therapy""[tw]"	0
civic.vgid	CIViC Variant Group	"""CIViC Variant Group""[tw]"	0
plos	PLOS Thesaurus	"""PLOS Thesaurus""[tw]"	0
civic.vid	CIViC variant	"""CIViC variant""[tw]"	0
clao	Collembola Anatomy Ontology	"""Collembola Anatomy Ontology""[tw] OR ""Collembola Anatomy Ontology (CLAO)""[tw]"	0
clingen.affiliation	ClinGen Clinical Genome Expert Panel	"""ClinGen Clinical Genome Expert Panel""[tw]"	0
cienciavitae	CIÊNCIAVITAE ID	"""CIÊNCIAVITAE ID""[tw]"	0
ppr	Europe PMC Preprints	"""Europe PMC Preprints""[tw]"	0
protonet.proteincard	ProtoNet ProteinCard	"""ProtoNet ProteinCard""[tw]"	0
chmo	Chemical Methods Ontology	"""Chemical Methods Ontology""[tw] OR ""Chemical Methods Ontology (CHMO)""[tw]"	0
rbo	Radiation Biology Ontology	"""Radiation Biology Ontology""[tw] OR ""Radiation Biology Ontology (RBO)""[tw]"	0
proteomicsdb.protein	ProteomicsDB Protein	"""ProteomicsDB Protein""[tw]"	0
proteomicsdb.peptide	ProteomicsDB Peptide	"""ProteomicsDB Peptide""[tw]"	0
chemfont.ontology	ChemFOnt Ontology	"""ChemFOnt Ontology""[tw]"	0
protcom	Database of protein-protein complexes	"""Database of protein-protein complexes""[tw]"	0
chempro.competitor	ChemPro Competitor	"""ChemPro Competitor""[tw]"	0
chempro.probe	ChemPro Probe	"""ChemPro Probe""[tw]"	0
propreo	Proteomics data and process provenance	"""Proteomics data and process provenance""[tw] OR ""Proteomics data and process provenance (PROPREO)""[tw]"	0
chempro.target	ChemPro Target	"""ChemPro Target""[tw]"	0
chemrof	Chemical Entity Materials and Reactions Ontological Framework	"""Chemical Entity Materials and Reactions Ontological Framework""[tw] OR ""Chemical Entity Materials and Reactions Ontological Framework (ChEMROF)""[tw]"	0
proco	Process Chemistry Ontology	"""Process Chemistry Ontology""[tw] OR ""Process Chemistry Ontology (PROCO)""[tw]"	0
probonto	Probability Distribution Ontology	"""Probability Distribution Ontology""[tw]"	0
chickenqtldb	Animal Genome Chicken QTL	"""Animal Genome Chicken QTL""[tw]"	0
prints	PRINTS compendium of protein fingerprints	"""PRINTS compendium of protein fingerprints""[tw]"	0
chiro	ChEBI Integrated Role Ontology	"""ChEBI Integrated Role Ontology""[tw] OR ""ChEBI Integrated Role Ontology (CHIRO)""[tw]"	0
pride	Proteomics Identification Database Ontology	"""Proteomics Identification Database Ontology""[tw]"	0
prefixcommons	Prefix Commons	"""Prefix Commons""[tw]"	0
rbk	Rebuilding a Kidney	"""Rebuilding a Kidney""[tw]"	0
rdfa	RDFa Vocabulary for Term and Prefix Assignment, and for Processor Graph Reporting	"""RDFa Vocabulary for Term and Prefix Assignment, and for Processor Graph Reporting""[tw]"	0
rcb	RIKEN Bioresource Center Cell Bank	"""RIKEN Bioresource Center Cell Bank""[tw]"	0
sabiork.compound	SABIO-RK Compound	"""SABIO-RK Compound""[tw]"	0
cao	Chemical Analysis Ontology	"""Chemical Analysis Ontology""[tw]"	0
rxno	Name Reaction Ontology	"""Name Reaction Ontology""[tw] OR ""Name Reaction Ontology (RXNO)""[tw]"	0
casspc	Eschmeyer's Catalog of Fishes	"""Eschmeyer's Catalog of Fishes""[tw]"	0
cath	CATH Protein Structural Domain Superfamily	"""CATH Protein Structural Domain Superfamily""[tw]"	0
cattleqtldb	Animal Genome Cattle QTL	"""Animal Genome Cattle QTL""[tw]"	0
cba	Chinese Biological Abstracts	"""Chinese Biological Abstracts""[tw]"	0
cbioportal	The cBioPortal for Cancer Genomics	"""The cBioPortal for Cancer Genomics""[tw]"	0
rpcec	Cuban Registry of Clinical Trials	"""Cuban Registry of Clinical Trials""[tw]"	0
rouge	Rodent Unidentified Gene-Encoded Large Proteins	"""Rodent Unidentified Gene-Encoded Large Proteins""[tw]"	0
cc	Creative Commons Rights Expression Language	"""Creative Commons Rights Expression Language""[tw]"	0
ccdc	CCDC Number	"""CCDC Number""[tw]"	0
ccds	Consensus CDS	"""Consensus CDS""[tw]"	0
rnavdb	RNA Virus Database	"""RNA Virus Database""[tw]"	0
ccf	Human Reference Atlas Common Coordinate Framework Ontology	"""Human Reference Atlas Common Coordinate Framework Ontology""[tw]"	0
ccle	Cancer Cell Line Encyclopedia Cells	"""Cancer Cell Line Encyclopedia Cells""[tw]"	0
rnamod	The RNA Modification Database	"""The RNA Modification Database""[tw]"	0
ccrid	National Experimental Cell Resource Sharing Platform	"""National Experimental Cell Resource Sharing Platform""[tw]"	0
s_mart_db	The S/MAR transaction DataBase	"""The S/MAR transaction DataBase""[tw]"	0
sabiork.ec	SABIO-RK EC Record	"""SABIO-RK EC Record""[tw]"	0
cdao	Comparative Data Analysis Ontology	"""Comparative Data Analysis Ontology""[tw] OR ""Comparative Data Analysis Ontology (CDAO)""[tw]"	0
sabiork.kineticrecord	SABIO Reaction Kinetics	"""SABIO Reaction Kinetics""[tw]"	0
scomp	Selventa Complexes	"""Selventa Complexes""[tw]"	0
sciprofiles	SciProfiles ID	"""SciProfiles ID""[tw]"	0
sciflection	Sciflection	"""Sciflection""[tw]"	0
scholia.resource	Scholia Registry	"""Scholia Registry""[tw]"	0
c4o	Citation Counting and Context Characterisation Ontology	"""Citation Counting and Context Characterisation Ontology""[tw] OR ""Citation Counting and Context Characterisation Ontology (C4O)""[tw]"	0
schem	Selventa Chemicals	"""Selventa Chemicals""[tw]"	0
cabi	CABI Digital Library	"""CABI Digital Library""[tw]"	0
cabri	Common Access to Biological Resources and Information Project	"""Common Access to Biological Resources and Information Project""[tw]"	0
cadsr	Cancer Data Standards Registry and Repository	"""Cancer Data Standards Registry and Repository""[tw]"	0
sasbdb	Small Angle Scattering Biological Data Bank	"""Small Angle Scattering Biological Data Bank""[tw]"	0
sasap	The State of Alaska's Salmon and People Ontology	"""The State of Alaska's Salmon and People Ontology""[tw]"	0
sao	Subcellular Anatomy Ontology	"""Subcellular Anatomy Ontology""[tw] OR ""Subcellular Anatomy Ontology (SAO)""[tw]"	0
salmon	Salmon Ontology	"""Salmon Ontology""[tw]"	0
caloha	CALIPHO Group Ontology of Human Anatomy	"""CALIPHO Group Ontology of Human Anatomy""[tw]"	0
sage.socialsciencethesaurus	SAGE Social Science Thesaurus	"""SAGE Social Science Thesaurus""[tw]"	0
sael	Standards and Ontologies for Functional Genomics (SOFG) Anatomy Entry List	"""Standards and Ontologies for Functional Genomics (SOFG) Anatomy Entry List""[tw]"	0
sabiork.reaction	SABIO-RK Reaction	"""SABIO-RK Reaction""[tw]"	0
rnajunction	Database of RNA Junctions and Kissing loop Structures	"""Database of RNA Junctions and Kissing loop Structures""[tw]"	0
rna_sstrand	RNA SSTRAND	"""RNA SSTRAND""[tw]"	0
rdbsb	Registry and database of bioparts for synthetic biology	"""Registry and database of bioparts for synthetic biology""[tw]"	0
researchgate.profile	ResearchGate profile ID	"""ResearchGate profile ID""[tw]"	0
cell_model_passport	Sanger Cell Model Passports	"""Sanger Cell Model Passports""[tw]"	0
repeatsdb.structure	RepeatsDB Structure	"""RepeatsDB Structure""[tw]"	0
repeatsdb.protein	RepeatsDB Protein	"""RepeatsDB Protein""[tw]"	0
reo	Reagent Ontology	"""Reagent Ontology""[tw]"	0
cellbank.australia	CellBank Australia	"""CellBank Australia""[tw]"	0
redfly	Regulatory Elements Database for Drosophila	"""Regulatory Elements Database for Drosophila""[tw]"	0
receptome.family	Human Plasma Membrane Receptome Families	"""Human Plasma Membrane Receptome Families""[tw]"	0
rec	Recommendation Ontology	"""Recommendation Ontology""[tw]"	0
cellimage	Cell Image Library	"""Cell Image Library""[tw]"	0
rebase	REBASE Enzyme Number	"""REBASE Enzyme Number""[tw]"	0
cellopub	Cellosaurus Publication	"""Cellosaurus Publication""[tw]"	0
cellosaurus.resource	Cellosaurus Registry	"""Cellosaurus Registry""[tw]"	0
cellrepo	Cell Version Control Repository	"""Cell Version Control Repository""[tw]"	0
rdo	RGD Disease Ontology	"""RGD Disease Ontology""[tw]"	0
cellxgene.collection	Chan Zuckerberg CELLxGENE Collection	"""Chan Zuckerberg CELLxGENE Collection""[tw]"	0
planp	Planarian Phenotype Ontology	"""Planarian Phenotype Ontology""[tw] OR ""Planarian Phenotype Ontology (PLANP)""[tw]"	0
cellxgene.dataset	Chan Zuckerberg CELLxGENE Dataset	"""Chan Zuckerberg CELLxGENE Dataset""[tw]"	0
reproduceme	REPRODUCE-ME Ontology	"""REPRODUCE-ME Ontology""[tw]"	0
resid	Protein covalent bond	"""Protein covalent bond""[tw] OR ""Protein covalent bond (RESID)""[tw]"	0
rism	RISM Online	"""RISM Online""[tw]"	0
reto	Regulation of Transcription Ontology	"""Regulation of Transcription Ontology""[tw]"	0
ricenetdb.reaction	RiceNetDB Reaction	"""RiceNetDB Reaction""[tw]"	0
ricenetdb.protein	RiceNetDB Protein	"""RiceNetDB Protein""[tw]"	0
ricenetdb.mirna	RiceNetDB miRNA	"""RiceNetDB miRNA""[tw]"	0
ricenetdb.gene	RiceNetDB Gene	"""RiceNetDB Gene""[tw]"	0
ricenetdb.compound	RiceNetDB Compound	"""RiceNetDB Compound""[tw]"	0
cdd	Conserved Domain Database at NCBI	"""Conserved Domain Database at NCBI""[tw]"	0
ricecyc	Rice Metabolic Pathways	"""Rice Metabolic Pathways""[tw]"	0
cdno	Compositional Dietary Nutrition Ontology	"""Compositional Dietary Nutrition Ontology""[tw] OR ""Compositional Dietary Nutrition Ontology (CDNO)""[tw]"	0
rhea	Rhea, the Annotated Reactions Database	"""Rhea, the Annotated Reactions Database""[tw]"	0
rgd.strain	Rat Genome Database strain	"""Rat Genome Database strain""[tw]"	0
rgd.qtl	Rat Genome Database qTL	"""Rat Genome Database qTL""[tw]"	0
cdpd	Canadian Drug Product Database	"""Canadian Drug Product Database""[tw]"	0
ceds.element	Common Entity Data Standards - Domain Entity Schema	"""Common Entity Data Standards - Domain Entity Schema""[tw]"	0
rfc	Internet Standard -- IETF Request for Comments	"""Internet Standard -- IETF Request for Comments""[tw]"	0
rfam	Rfam database of RNA families	"""Rfam database of RNA families""[tw]"	0
rexo	Regulation of Gene Expression Ontology	"""Regulation of Gene Expression Ontology""[tw]"	0
cell_biolabs	Cell Biolabs cell line products	"""Cell Biolabs cell line products""[tw]"	0
clinvar	ClinVar Variation	"""ClinVar Variation""[tw]"	0
clinvar.submitter	ClinVar Submitter	"""ClinVar Submitter""[tw]"	0
plana	Planarian Anatomy and Schmidtea mediterranean Developmental Stage Ontology	"""Planarian Anatomy and Schmidtea mediterranean Developmental Stage Ontology""[tw] OR ""Planarian Anatomy and Schmidtea mediterranean Developmental Stage Ontology (PLANA)""[tw]"	0
co_365	Fababean ontology	"""Fababean ontology""[tw] OR ""Fababean ontology (CO_365)""[tw]"	0
orangebook	IUPAC Compendium of Analytical Nomenclature (Orange Book)	"""IUPAC Compendium of Analytical Nomenclature (Orange Book)""[tw]"	0
oprlm	Orientation of Proteins in Realistic Lipid Membranes	"""Orientation of Proteins in Realistic Lipid Membranes""[tw]"	0
opmi	Ontology of Precision Medicine and Investigation	"""Ontology of Precision Medicine and Investigation""[tw] OR ""Ontology of Precision Medicine and Investigation (OPMI)""[tw]"	0
co_366	Bambara groundnut ontology	"""Bambara groundnut ontology""[tw] OR ""Bambara groundnut ontology (CO_366)""[tw]"	0
opl	Ontology for Parasite LifeCycle	"""Ontology for Parasite LifeCycle""[tw] OR ""Ontology for Parasite LifeCycle (OPL)""[tw]"	0
openwemi	openWEMI Vocabulary	"""openWEMI Vocabulary""[tw]"	0
co_367	Quinoa Ontology	"""Quinoa Ontology""[tw] OR ""Quinoa Ontology (CO_367)""[tw]"	0
opb	Ontology of Physics for Biology	"""Ontology of Physics for Biology""[tw]"	0
oostt	Ontology of Organizational Structures of Trauma centers and Trauma systems	"""Ontology of Organizational Structures of Trauma centers and Trauma systems""[tw] OR ""Ontology of Organizational Structures of Trauma centers and Trauma systems (OOSTT)""[tw]"	0
co_370	Apple Ontology	"""Apple Ontology""[tw] OR ""Apple Ontology (CO_370)""[tw]"	0
ontoneo	Obstetric and Neonatal Ontology	"""Obstetric and Neonatal Ontology""[tw] OR ""Obstetric and Neonatal Ontology (ONTONEO)""[tw]"	0
ontoavida	Ontology for Avida digital evolution platform	"""Ontology for Avida digital evolution platform""[tw] OR ""Ontology for Avida digital evolution platform (ONTOAVIDA)""[tw]"	0
ontie	Ontology for Immune Epitopes	"""Ontology for Immune Epitopes""[tw]"	0
ons	Ontology for Nutritional Studies	"""Ontology for Nutritional Studies""[tw] OR ""Ontology for Nutritional Studies (ONS)""[tw]"	0
one	Ontology for Nutritional Epidemiology	"""Ontology for Nutritional Epidemiology""[tw] OR ""Ontology for Nutritional Epidemiology (ONE)""[tw]"	0
cob	Core Ontology for Biology and Biomedicine	"""Core Ontology for Biology and Biomedicine""[tw] OR ""Core Ontology for Biology and Biomedicine (COB)""[tw]"	0
omx.dataset	OncoMX Dataset	"""OncoMX Dataset""[tw]"	0
orcid	Open Researcher and Contributor	"""Open Researcher and Contributor""[tw]"	0
oridb.sacch	OriDB Saccharomyces	"""OriDB Saccharomyces""[tw]"	0
p3db.protein	P3DB Protein	"""P3DB Protein""[tw]"	0
oridb.schizo	OriDB Schizosaccharomyces	"""OriDB Schizosaccharomyces""[tw]"	0
co_346	Mungbean ontology	"""Mungbean ontology""[tw] OR ""Mungbean ontology (CO_346)""[tw]"	0
co_347	Castor bean ontology	"""Castor bean ontology""[tw] OR ""Castor bean ontology (CO_347)""[tw]"	0
co_348	Brassica ontology	"""Brassica ontology""[tw] OR ""Brassica ontology (CO_348)""[tw]"	0
co_350	Oat ontology	"""Oat ontology""[tw] OR ""Oat ontology (CO_350)""[tw]"	0
osti.article	Office of Scientific and Technical Information (OSTI)	"""Office of Scientific and Technical Information (OSTI)""[tw]"	0
oslc	OASIS Open Services for Lifecycle Collaboration Core Vocabulary	"""OASIS Open Services for Lifecycle Collaboration Core Vocabulary""[tw] OR ""OASIS Open Services for Lifecycle Collaboration Core Vocabulary (oslc)""[tw]"	0
co_356	Vitis ontology	"""Vitis ontology""[tw] OR ""Vitis ontology (CO_356)""[tw]"	0
oryzabase.strain	Oryzabase Strain	"""Oryzabase Strain""[tw]"	0
oryzabase.stage	Oryzabase Stage	"""Oryzabase Stage""[tw]"	0
oryzabase.reference	Oryzabase Reference	"""Oryzabase Reference""[tw]"	0
oryzabase.mutant	Oryzabase Mutant	"""Oryzabase Mutant""[tw]"	0
oryzabase.gene	Oryzabase Gene	"""Oryzabase Gene""[tw]"	0
co_357	Woody Plant Ontology ontology	"""Woody Plant Ontology ontology""[tw] OR ""Woody Plant Ontology ontology (CO_357)""[tw]"	0
co_358	Cotton ontology	"""Cotton ontology""[tw] OR ""Cotton ontology (CO_358)""[tw]"	0
co_359	Sunflower ontology	"""Sunflower ontology""[tw] OR ""Sunflower ontology (CO_359)""[tw]"	0
co_360	Sugar Kelp trait ontology	"""Sugar Kelp trait ontology""[tw] OR ""Sugar Kelp trait ontology (CO_360)""[tw]"	0
ornaseq	Ontology of RNA Sequencing	"""Ontology of RNA Sequencing""[tw] OR ""Ontology of RNA Sequencing (ORNASEQ)""[tw]"	0
omrse	Ontology for Modeling and Representation of Social Entities	"""Ontology for Modeling and Representation of Social Entities""[tw] OR ""Ontology for Modeling and Representation of Social Entities (OMRSE)""[tw]"	0
omp	Ontology of Microbial Phenotypes	"""Ontology of Microbial Phenotypes""[tw] OR ""Ontology of Microbial Phenotypes (OMP)""[tw]"	0
coconut	COlleCtion of Open Natural ProdUcTs	"""COlleCtion of Open Natural ProdUcTs""[tw]"	0
omon	Overview of Medical Research in the Netherlands	"""Overview of Medical Research in the Netherlands""[tw]"	0
ogg	The Ontology of Genes and Genomes	"""The Ontology of Genes and Genomes""[tw] OR ""The Ontology of Genes and Genomes (OGG)""[tw]"	0
og	Open Graph protocol	"""Open Graph protocol""[tw]"	0
oeh.educationlevel	OpenEduHub Education Level	"""OpenEduHub Education Level""[tw]"	0
colao	Coleoptera Anatomy Ontology	"""Coleoptera Anatomy Ontology""[tw] OR ""Coleoptera Anatomy Ontology (COLAO)""[tw]"	0
odrl	Open Digital Rights Language Ontology	"""Open Digital Rights Language Ontology""[tw]"	0
odor	Odor Molecules DataBase	"""Odor Molecules DataBase""[tw]"	0
odc.tbi	Open Data Commons for Traumatic Brain Injury	"""Open Data Commons for Traumatic Brain Injury""[tw]"	0
odc.sci	Open Data Commons for Spinal Cord Injury	"""Open Data Commons for Spinal Cord Injury""[tw]"	0
odamexplorer	ODAM Data explorer	"""ODAM Data explorer""[tw]"	0
odam	Open Data for Access and Mining	"""Open Data for Access and Mining""[tw]"	0
oclc	Online Computer Library Center WorldCat	"""Online Computer Library Center WorldCat""[tw]"	0
ocid	Ontology Concept Identifiers	"""Ontology Concept Identifiers""[tw]"	0
oci	Open Citation Identifier	"""Open Citation Identifier""[tw]"	0
occo	Occupation Ontology	"""Occupation Ontology""[tw] OR ""Occupation Ontology (OCCO)""[tw]"	0
occ	OpenCitations Corpus	"""OpenCitations Corpus""[tw]"	0
obv	Austrian Library Network	"""Austrian Library Network""[tw]"	0
oboinowl	OBO in OWL	"""OBO in OWL""[tw] OR ""OBO in OWL (oboInOwl)""[tw]"	0
ogi	Ontology for genetic interval	"""Ontology for genetic interval""[tw] OR ""Ontology for genetic interval (OGI)""[tw]"	0
ogms	Ontology for General Medical Science	"""Ontology for General Medical Science""[tw] OR ""Ontology for General Medical Science (OGMS)""[tw]"	0
ogsf	Ontology of Genetic Susceptibility Factor	"""Ontology of Genetic Susceptibility Factor""[tw] OR ""Ontology of Genetic Susceptibility Factor (OGSF)""[tw]"	0
codelink	GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray	"""GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray""[tw]"	0
omo	OBO Metadata Ontology	"""OBO Metadata Ontology""[tw] OR ""OBO Metadata Ontology (OMO)""[tw]"	0
omit	Ontology for MicroRNA Target	"""Ontology for MicroRNA Target""[tw] OR ""Ontology for MicroRNA Target (OMIT)""[tw]"	0
omim.ps	OMIM Phenotypic Series	"""OMIM Phenotypic Series""[tw]"	0
codata.rdmt	CODATA Research Data Management Terminology	"""CODATA Research Data Management Terminology""[tw]"	0
omid	OpenCitations Meta Identifier	"""OpenCitations Meta Identifier""[tw]"	0
omiabis	Ontologized MIABIS	"""Ontologized MIABIS""[tw] OR ""Ontologized MIABIS (OMIABIS)""[tw]"	0
omia.variant	OMIA variants	"""OMIA variants""[tw]"	0
oma.protein	OMA Protein	"""OMA Protein""[tw]"	0
ohd	Oral Health and Disease Ontology	"""Oral Health and Disease Ontology""[tw] OR ""Oral Health and Disease Ontology (OHD)""[tw]"	0
oma.hog	OMA HOGs	"""OMA HOGs""[tw]"	0
coi	COI Catalogue	"""COI Catalogue""[tw]"	0
om	Ontology of units of Measure	"""Ontology of units of Measure""[tw]"	0
olatdv	Medaka Developmental Stages	"""Medaka Developmental Stages""[tw] OR ""Medaka Developmental Stages (OlatDv)""[tw]"	0
oid	ISO Object Identifier	"""ISO Object Identifier""[tw]"	0
ohpi	Ontology of Host Pathogen Interactions	"""Ontology of Host Pathogen Interactions""[tw] OR ""Ontology of Host Pathogen Interactions (OHPI)""[tw]"	0
col.taiwan	Catalogue of Life in Taiwan	"""Catalogue of Life in Taiwan""[tw]"	0
owlstar	Ontological Interpretations for Web Property Graphs	"""Ontological Interpretations for Web Property Graphs""[tw]"	0
p3db.site	P3DB Site	"""P3DB Site""[tw]"	0
clinvar.record	ClinVar Record	"""ClinVar Record""[tw]"	0
cmo	Clinical measurement ontology	"""Clinical measurement ontology""[tw] OR ""Clinical measurement ontology (CMO)""[tw]"	0
pharmgkb.variant	PharmGKB Variant	"""PharmGKB Variant""[tw]"	0
cncb.gwh	CNCB Genome Warehouse	"""CNCB Genome Warehouse""[tw]"	0
pharmgkb.gene	PharmGKB Gene	"""PharmGKB Gene""[tw]"	0
pharmgkb.drug	PharmGKB Drug	"""PharmGKB Drug""[tw]"	0
pharmgkb.disease	PharmGKB Disease	"""PharmGKB Disease""[tw]"	0
pharmacodb.tissue	PharmacoDB Tissues	"""PharmacoDB Tissues""[tw]"	0
pharmacodb.dataset	PharmacoDB Datasets	"""PharmacoDB Datasets""[tw]"	0
pharmacodb.cell	PharmacoDB Cells	"""PharmacoDB Cells""[tw]"	0
cnrs	French National Center for Scientific Research - Research Group Identifier	"""French National Center for Scientific Research - Research Group Identifier""[tw]"	0
cnt	Representing Content in RDF	"""Representing Content in RDF""[tw]"	0
co_320	Rice ontology	"""Rice ontology""[tw] OR ""Rice ontology (CO_320)""[tw]"	0
pgdso	Plant Growth and Development Stage	"""Plant Growth and Development Stage""[tw] OR ""Plant Growth and Development Stage (PGDSO)""[tw]"	0
co_321	Wheat ontology	"""Wheat ontology""[tw] OR ""Wheat ontology (CO_321)""[tw]"	0
co_322	Maize ontology	"""Maize ontology""[tw] OR ""Maize ontology (CO_322)""[tw]"	0
co_323	Barley ontology	"""Barley ontology""[tw] OR ""Barley ontology (CO_323)""[tw]"	0
pesticides	Alan Wood's Pesticides	"""Alan Wood's Pesticides""[tw]"	0
pesticideinfo	PesticideInfo chemical ID	"""PesticideInfo chemical ID""[tw]"	0
cmpo	Cellular Microscopy Phenotype Ontology	"""Cellular Microscopy Phenotype Ontology""[tw]"	0
cmf	CranioMaxilloFacial ontology	"""CranioMaxilloFacial ontology""[tw] OR ""CranioMaxilloFacial ontology (CMF)""[tw]"	0
packagist	Packagist	"""Packagist""[tw]"	0
phipo	Pathogen Host Interaction Phenotype Ontology	"""Pathogen Host Interaction Phenotype Ontology""[tw] OR ""Pathogen Host Interaction Phenotype Ontology (PHIPO)""[tw]"	0
pirsf	PIR Superfamily Classification System	"""PIR Superfamily Classification System""[tw]"	0
clinvar.submission	ClinVar Submission	"""ClinVar Submission""[tw]"	0
scop.sccs	SCOP(e) concise classification string	"""SCOP(e) concise classification string""[tw]"	0
pii	Publisher Item Identifier	"""Publisher Item Identifier""[tw]"	0
pigqtldb	Animal Genome Pig QTL	"""Animal Genome Pig QTL""[tw]"	0
pid.pathway	NCI Pathway Interaction Database: Pathway	"""NCI Pathway Interaction Database: Pathway""[tw]"	0
clm	Cell Markers Ontology	"""Cell Markers Ontology""[tw] OR ""Cell Markers Ontology (CLM)""[tw]"	0
pibase	Database of structurally defined protein interfaces	"""Database of structurally defined protein interfaces""[tw]"	0
phytozome.locus	Plant Genome Network	"""Plant Genome Network""[tw]"	0
cls	Cell Lines Service	"""Cell Lines Service""[tw]"	0
clyh	Clytia hemisphaerica Development and Anatomy Ontology	"""Clytia hemisphaerica Development and Anatomy Ontology""[tw] OR ""Clytia hemisphaerica Development and Anatomy Ontology (CLYH)""[tw]"	0
phosphosite.sitegroup	PhosphoSite Site Group	"""PhosphoSite Site Group""[tw]"	0
phosphosite.residue	PhosphoSite Residue	"""PhosphoSite Residue""[tw]"	0
cmecs	Costal and Marine Ecological Classification Standard	"""Costal and Marine Ecological Classification Standard""[tw]"	0
phosphosite.curation	PhosphoSite Curation	"""PhosphoSite Curation""[tw]"	0
phosphopoint.protein	PhosphoPoint Phosphoprotein	"""PhosphoPoint Phosphoprotein""[tw]"	0
phosphopoint.kinase	PhosphoPoint Kinase	"""PhosphoPoint Kinase""[tw]"	0
co_324	Sorghum ontology	"""Sorghum ontology""[tw] OR ""Sorghum ontology (CO_324)""[tw]"	0
perkinelmer	PerkinElmer cell line collection	"""PerkinElmer cell line collection""[tw]"	0
peptideatlas.dataset	PeptideAtlas Dataset	"""PeptideAtlas Dataset""[tw]"	0
co_325	Banana ontology	"""Banana ontology""[tw] OR ""Banana ontology (CO_325)""[tw]"	0
paxdb.organism	PaxDb Organism	"""PaxDb Organism""[tw]"	0
pav	Provenance, Authoring, and Versioning Vocabulary	"""Provenance, Authoring, and Versioning Vocabulary""[tw] OR ""Provenance, Authoring, and Versioning Vocabulary (pav)""[tw]"	0
pato	Phenotype And Trait Ontology	"""Phenotype And Trait Ontology""[tw] OR ""Phenotype And Trait Ontology (PATO)""[tw]"	0
co_336	Soybean ontology	"""Soybean ontology""[tw] OR ""Soybean ontology (CO_336)""[tw]"	0
co_337	Groundnut ontology	"""Groundnut ontology""[tw] OR ""Groundnut ontology (CO_337)""[tw]"	0
co_338	Chickpea ontology	"""Chickpea ontology""[tw] OR ""Chickpea ontology (CO_338)""[tw]"	0
co_339	Lentil ontology	"""Lentil ontology""[tw] OR ""Lentil ontology (CO_339)""[tw]"	0
pass2	Protein Alignment organised as Structural Superfamily	"""Protein Alignment organised as Structural Superfamily""[tw]"	0
pao	Plant Anatomy Ontology	"""Plant Anatomy Ontology""[tw] OR ""Plant Anatomy Ontology (PAO)""[tw]"	0
panther.pthcmp	PANTHER Pathway Component	"""PANTHER Pathway Component""[tw]"	0
co_340	Cowpea ontology	"""Cowpea ontology""[tw] OR ""Cowpea ontology (CO_340)""[tw]"	0
panther.node	PANTHER Node	"""PANTHER Node""[tw]"	0
panther.family	PANTHER Family	"""PANTHER Family""[tw]"	0
co_341	Pigeonpea ontology	"""Pigeonpea ontology""[tw] OR ""Pigeonpea ontology (CO_341)""[tw]"	0
pandit	Protein and Associated NucleotideDomains with Inferred Trees	"""Protein and Associated NucleotideDomains with Inferred Trees""[tw]"	0
co_343	Yam ontology	"""Yam ontology""[tw] OR ""Yam ontology (CO_343)""[tw]"	0
co_345	Brachiaria ontology	"""Brachiaria ontology""[tw] OR ""Brachiaria ontology (CO_345)""[tw]"	0
paxdb.protein	PaxDb Protein	"""PaxDb Protein""[tw]"	0
pazar	Pazar Transcription Factor	"""Pazar Transcription Factor""[tw]"	0
pba	Primate Brain Atlas	"""Primate Brain Atlas""[tw] OR ""Primate Brain Atlas (PBA)""[tw]"	0
pdumdv	Platynereis Developmental Stages	"""Platynereis Developmental Stages""[tw] OR ""Platynereis Developmental Stages (PdumDv)""[tw]"	0
co_326	Coconut ontology	"""Coconut ontology""[tw] OR ""Coconut ontology (CO_326)""[tw]"	0
pepbank	PepBank Peptide Database	"""PepBank Peptide Database""[tw]"	0
co_327	Pearl millet ontology	"""Pearl millet ontology""[tw] OR ""Pearl millet ontology (CO_327)""[tw]"	0
peff	PSI Extended File Format	"""PSI Extended File Format""[tw]"	0
ped.ensemble	Protein Ensemble Database ensemble	"""Protein Ensemble Database ensemble""[tw]"	0
co_330	Potato ontology	"""Potato ontology""[tw] OR ""Potato ontology (CO_330)""[tw]"	0
peco	Plant Experimental Conditions Ontology	"""Plant Experimental Conditions Ontology""[tw] OR ""Plant Experimental Conditions Ontology (PECO)""[tw]"	0
pdro	The Prescription of Drugs Ontology	"""The Prescription of Drugs Ontology""[tw] OR ""The Prescription of Drugs Ontology (PDRO)""[tw]"	0
